reviewText,overall,reviewTime,asin,title
"You know a sequel is going to be bad when children are someway added or the same plot is taken to a major city (see Jurassic Park II, III etc.). Luckily Predator 2 only suffers from the latter. Not picking up Arnie's contract was a huge mistake, he was the heartbeat of the first film. Adding Danny Glover could have been a good move but he needed a better supporting cast (not Mel Gibson). The whole plot line with the gangsters in a not too distant Los Angeles was extremely lame, but if you love the Predator you've probably seen this movie and you also probably know what I'm saying here.",2,"12 27, 2013",6301963725,Predator 2 [VHS]
"Proceeding from Trey Parker, Team America offers some creditable South Park humor. The attractive subtitle promises to 'ridicule everybody'. 'Everybody', it turns out, mostly includes Kim Jung Il. (One would expect the easier target, Bush, to at least show. No such luck.) Since it is difficult to properly ridicule the North Korean dictator, whose evildoings are only vaguely familiar to the American audience, the burden of satire turns to the supposedly univeral Asian tendency to mispronounce all 'L's as 'R's. (I so ronery. I have pran.) For nearly half an hour, what seems to be the bulk of the movie is spent repeating that one joke--200 times or so, and the joke goes from old to sadistic to simply tiring. The last third of the plot consists of head explosions and dismemberments, in their full bloody glory, of anti-war Hollywood stars, one at a time. These scenes may succeed in entertaining either middle schoolers who consider any form of cruelty the highest form of funny, or right wingers who attain to masturbatory revenge on all Bush critics. It is disturbing to see the creators of South Park-and not Bill O'Reiley-equate all criticism of Bush with terrorist membership. Making fun is one thing, misinforming people about an honest cause is another. (In a public letter, Sean Penn shrugged off the ridicule, but invited the creators of the movie to join him on a trip to war zone countries. Witnessing real people getting their guts blown to pieces may not be that funny, after all.) It has been said that moral failure usually comes from intellectual deficiency, but this cannot be said of the creators of South Park, who have repeatedly proven themselves with clever socio-political commentaries. For Team America, a more proper word is not deficiency, but decrepitude.",2,"06 9, 2005",B0007Y08I8,Team America - World Police (Special Collector's Widescreen Edition)
"One week later after watching this movie and I am still disappointed in it. Although I should have known it would be bad, because the first one was so freaking good. This movie, as other reviewers have pointed out, has too many points in it that I you are saying ""no way that would happen"" and you are too preoccupied about that to even care about what is happening on screen with the characters or plot. I didn't care about anyone surviving, because they were all idiots. The Father who kisses his obviously infected exposed wife, the two kids who sneak out to get photographs knowing that in time they would probably get them anyway, the soldiers and the doctor who have no common sense between them. I think I was harboring a secret fantasy that the little boy would get torn to shreds, because his behavior and downright stupidity made me frustrated. Who falls down stairs/escalators and just gets up and wanders off from there? Wouldn't you stay where you fell? The same ""Godspeed you black emperor"" song from the first movie, also made me mad, I guess they had to use it to tie it to the first, but to me it only reminded me how UNLIKE the first movie it really was! I actually snickered when the infected were running around France at the end, Le Rage Oui Oui!  I really want to one day take all the over acting infected shots and set them to music, maybe Barry Mani lows Copacabana?I would say only see this movie, to appreciate how awesome the first one was all over again, and than go watch the first one to erase the memory of this sequel.",2,"01 15, 2008",B000TJBN7Q,Unknown Product
"What a weird film.Lots of gore. It reminded me of Re-animator at times, Japanese style. Maybe if it was made on a more serious note rather than such a campy style, it might make a good movie.The fact that it was shot on tape didn't help it one bit either. I hate that.And the theme... something must have definitely been lost in translation because I did not understand the point of this movie at all.You take your chances on this one. I can't recommended it but neither can I trash it. Zombies. Japanese schoolgirls. Lots of blood and gore. Did I mention shot on tape?",1,"09 18, 2007",B000096IAM,Stacy
"I must commend the director of this ""film"" Eduardo Sanchez, because he made a bundle on this flick, not to mention all the hype and recognition about this being one of the scariest films ever made. However, I found this to be one of the most aggravating movies I have seen in years.First, you anticipated being scared for so long, but you never got scared!Second, the movie dragged for so long, I could have cooked a five course meal in the meantime and not missed a thing.Third, the camera shaking effect was that held by a toddler, or was it supposed to be scary?Were those woods really in Maryland and not West Virginia, because otherwise a few mutant cannibal hillbillies could have done the trick.Lastly, were those kids stoned? Because there seemed to be an awful lot of confusion about where they were, why they were there, and where the map was.After not breaking the DVD since it was a rental, years later I actually tortured myself and watched it again, but it was funny the second time around.",1,"01 29, 2005",6305568901,Curse of the Blair Witch [VHS]
"I have to admit, I fell for all the hype that this was going to be a enjoyable film. The reason I pay close to$10.00 to watch a film on the big screen is to be entertained, to get some emotional pleasure! One of the problems with Iron Man is that it's geared towards the mind of a child/young teen without any charm. It's so incredibly predictable, a sort of comic-book-story-formula-film. A very clever way for Hollywood to make a quick buck at the expense of an interesting (on some level) story. I'm tired of the meanie terrorist villains. I'm tired of the totally clueless good guy(s). I'm tired of the evil mentor! This story has absolutely zero imagination. It's at the intelligence level of a second-rate, Saturday morning cartoon!It's also about the crudest form of exploitation for financial profit imaginable! The really bad guys have always got to be Arabs, or look like Arabs. They kill innocent civilians for no reason. They hide in caves, like the hated Japanese soldiers did in World War 2. But only a rich and powerful U.S. weapons inventor & dealer can come to the rescue! Wow! What a message that sends to weapon makers of the world! Who would ever of guessed that deep, down, inside, one of the Merchant's of Death literally has a heart of gold (or palladium, in this case)!Afghanistan is currently an extremely troubled country even though it has a very rich cultural tradition. It's a shame it was dumbed down in Iron Man to helpless civilians, brutal warlords, an impotent and clueless U.S. military and one white man who had a very unconvincing conversion experience. If Hollywood is going to bring politics and current events into a comic book story then they need act more like mature adults, instead of soulless moneygrubers trying to make a quick buck off of the horrific suffering of people in some distant land. Afghanistan is not some make believe place! It's a place where real people, including brave Americans, and many others from around the world, are risking their lives everyday!I hope Hollywood stops treating the moviegoers of the world like a bunch of idiots. And, while I'm at it, it would be nice if some of the many millions of dollars Hollywood is going to make from Iron Man is donated to various third-party, non-profit organizations working on reconstructing Afghanistan's civilian infrastructure! They certainly could use the money!For those who think selling weapons is funny see:Merchant of Death: Money, Guns, Planes, and the Man Who Makes War Possible,Lord of War (2-Disc Special Edition),The Ugly Americanand most importantly: Committing to Afghanistan: the case for increasing U.S. reconstruction and stabilization aid.: An article from: Military ReviewFor a MUCH more entertaining approach to Science Fiction see:ZardozandEnemy MineandFantastic PlanetandA.I. - Artificial Intelligence (Widescreen Two-Disc Special Edition)andBicentennial ManandGalaxy Quest (Deluxe Edition)",1,"05 6, 2008",B00005JPS8,Iron Man (Ultimate 2 Disc Edition)
"It's terrible. any artistic merit for this movie was lost on me after the rape scene. The acting is really not that fantastic (although it's a shame we no longer have Karen Lancaume/Black/Bach in this world - she was a talent that could have been nurtured). The story is set around an attempt to shock and the ending is kind of pointless, too. I love French extreme cinema, so the shock effect was not what turned me off - it's the deliberate (and yet failed) attempt to shock. Better off viewed on the internet so you don't waste your money.",2,"02 16, 2014",B00005U12T,Baise-Moi
"One of the worst movies ever.  I watched only 20 minutes of it and cut up the DVD and threw it away!  I love a good western and am not turned off by violence or blood.  Django Unchained is a favorite movie of mine.  But this was just some sorry liberal writer thrusting the vilest language and all down peoples throats.  Totally uncalled for.  Could have been a good western, but when you start out with &#34;c&#34; word, a man masturbating while watching a woman in a peephole, nude scenes and more in just the first 20 minutes, that's just stupid.",1,"02 6, 2014",B00F3TD8XO,Unknown Product
"This film is billed as a romantic comedy, but it is neither romantic nor funny. It is the story of a ""nice,"" but bored, college boy who falls in love with a destructive girl. We learn at the end that Jordan's destructive behavior is due to a ""painful secret,"" but the most painful part of this film is the film itself. Jordan's (Elisha Cuthbert's) ""hotness"" doesn't make up for this lousy movie.There are no likable characters, and none of the characters make any sense. Ostensibly, Charlie's reason for falling in love with Jordan is that his parents are so nice and conventional that he craves people who are the opposite. For her part, Jordan has her own sick reasons for liking Charlie, and all the maudlin sappiness at the end doesn't redeem this story; if anything, it makes it worse. I can't tell you what Jordan's painful secret is without spoiling the movie (as if I could spoil it!), but I can tell you that her pain doesn't explain her behavior. By the middle of this film I felt convinced that Charlie loved Jordan not in spite of her destructive behavior but because of it, and there's nothing romantic or funny about that! Maybe Charlie also has a ""painful secret"" that could explain away his actions? I'll look for that in the sequel.In the end, I was left wondering why Charlie felt so strongly attracted to an incredibly rude, destructive, selfish, irrational alcoholic who, even after she has pulled herself together, is still completely irrational with silly talk about ""destiny."" Take destiny into your own hands and avoid this movie!",1,"04 23, 2009",B0019X3YXM,Unknown Product
"Just what the world needs, viral-based zombie war movie. I spent either $4.99 or $5.99 [I forget] on this movie and I still feel like I was ripped off. Brad Pitt - you are capable of much more substantial roles than this. Lame-o storyline, stereotypical zombie noises, colossal waste of production money. Better to have given the millions $$ spent on this movie to the real residents of Jerusalem who have experienced such horrible warring and poverty. Everyone involved in this movie should have their heads examined.",1,"11 8, 2013",B005LAIIMG,Unknown Product
"This movie was horrible, I cannot believe that I wasted my time and money on this garbage. Do not rent this movie.",1,"04 9, 2013",B009AZH0TA,Unknown Product
Bad everything with the exception of what Amazon is responsible for the sound and playback was good so Amazon isn't to blame just badly written and played out,1,"02 13, 2013",6302038308,Evil Dead II [VHS]
"I have been waiting for Near Dark to come out on DVD ever since the format was introduced. Now it's out and I am going to stick with my VHS copy.  The picture looks as if it was shot behind a sun filter and the color is lacking. The so-called widescreen is non-existent, losing part of the top and bottom of the picture. When I buy a DVD title I always compare it to my VHS copy to insure that I am in fact getting not only a better quality picture but true widescreen. My VHS copy is in so much better shape, I will no doubt watch that version rather than the DVD. The part that really irritates me is that I bought the DVD from Best Buy, whose policy is that they don't give refunds on open DVD's, only exchanges for the same title, so I'm stuck with it.On another note, I have noticed that there are a number of DVD's that claim to be in widescreen but in reality only throw in the black bars to give the illusion of widescreen (check out Ferris Bueller for example).  From my experience I think most of Paramount, Warner and Universal are the only companies that truly have widescreen formats on their DVD's, but even they have their failures. I don't know who does the screening of films when they are transferred to DVD but if I did my job that poorly, I wouldn't have it for long. I just wonder when these DVD industries will finally start living up to their expectations and release ALL movies in true widescreen?I wrote to Anchor Bay about the DVD quality and guess what they did- they sent me another one! I think that they miss the big picture here (no pun intended), I was complaining about the quality of the DVD and didn't need to get another one in its place that was just as bad!",1,"09 16, 2002",6301928555,Near Dark [VHS]
"I usually love Winfrey's movies but this one left a lot to be desired. I am CERTAIN the book must be much better because this movie seems as if someone made it who had read the book and knew what was going on, while those who had not read book the book were left with a lot of confusion and missing pieces. I have never had so many questions or said to myself What on earth was that about? more times watching a film. Very confusing! I still have no idea what was going for 2/3rd's of the film. If you have read the book, if you haven't pass on this one.",2,"07 4, 2014",0788815474,Beloved
movies i dont watch at all because movies are lame and generally suck nwadays. being quiet is better than movies,1,"07 26, 2013",B005LAII58,Unknown Product
"I bought this anime only because I was at the mall and I felt like buying something. Sadly, it was money wasted on this. The storyline is weak and boring. The writers must have known that because to cover up how boring it is they threw in hundreds of profanities. These people swear in every sentence they speak. If you're a kid, make sure you turn the volume down so mom doesn't hear it. If you're a parent, don't buy this for your kid. There are so many fantastic anime movies out there. Please don't waste your time with this one. I beg you!",1,"01 5, 2003",B00000I1SF,"Cyber City Oedo 808, Vol. 1-3"
"OK - most of the controversy surrounding this release is New Line Home Video's choice to go Blu-ray.  I'm starting to feel like a broken record, but Blu-ray WILL win the format war with HD DVD (aka LaserDisc) and I'm glad New Line made the right choice.As for the movie itself, I couldn't be more pleased that Peter Jackson decided to follow George Lucas' lead in introducing some modern-day silliness.  Jar Jar Binks has nothing on Radagast the Brown!  And there is no shortage of situations where there is plot-altering, certain doom for the little gang, only to be saved by wild luck!  I'd love to see Jackson take future installments even further in that direction with more baffling escapes and more goofball characters.  I mean, watching movies IS supposed to be fun, right?I recommend double featuring this with Neverending Story III.",2,"11 8, 2013",B0059XTU1S,Unknown Product
"As a film, this is a five star movie.  As a DVD, the rating has been lowered to two stars because of the risk in getting a bad copy. I purchased a copy of CABIN IN THE SKY last year locally and unfortunately I also got one of the defective discs that several of the reviewers here have noted; apparently there was a bad printing, the first Warner Bros. dvd I have ever purchased that was defective.  I returned my purchase to the store for another copy and the new copy was just as bad!  When that one went back I exchanged it for something else, not wanting to go through this ad nauseum.  I would love to own a copy of a great print of this movie which I have seen several times on television but potential buyers need to be aware there are defective dvds out there on the market as well as apparently printings without problems.The movie itself is a must for lovers of great musicals. Despite an extremely talented cast giving super performances, Ethel Waters is the sensation here, at age 46 starring in her first major motion picture and giving one of the American movie musical's most virtuoso performances, poignant, comic, dramatic, wistful, saucy, and always utterly human. Her deeply moving vocals are appropriately out of this world. She is unforgettable.The cast does fine work. Eddie Anderson is an endearing rascal who is a good soul despite some bad leanings who is the world to Ethel. The gorgeous young Lena Horne is the femme-fatale who adds her own brand of havoc to the homestead. Rex Ingram is hilarious as Lucifer Jr. and Kenneth Spencer is equally outstanding in the role of his Heavenly counterpart. I would have liked to have seen more of Butterfly McQueen as Ethel's best friend Lily; Butterfly makes her presence known in the little she has to do here. And it was quite of shock to see the great Louis Armstrong, truly one of the 20th century's musical legends playing a rather minor part as one of Ingram's idea men. Everybody knows Satchmo is on the side of the angels!If you  do decide to take the risk and buy this DVD I recommend you view it immediately to see whether or not you got a bad disc and if it needs to be returned.  Good luck!",2,"05 26, 2011",0792839994,Cabin in the Sky [VHS]
"I did not buy this movie (for the record) i rented it out of the redbox for my son. Its just not very good at all, the storyline is just silly and so is the ending. I want my $1 back.",1,"03 25, 2013",B00466HN6S,Unknown Product
"I'm a huge Ryan Reynolds fan, love super hero movies, and so do my kids.  But this movie couldn't hold any of our attention.  Very disappointed, this could've been such a great story!",1,"06 26, 2014",B004EPZ07K,Unknown Product
"I bought this from a local retailer and after watching the beginning of the first DVD, I took it right back and got a refund. Why? First of all, I don't like being taken and fooled into buying something that isn't what it claims to be. I read the outside of the packaging to detect anything that implies it was ""colorized"" from black & white footage. On the contrary, the box states it is ""vintage COLOR footage."" No hint of 'colorization.' Well think again....All it is is reworked b & w footage with pale, lifeless color added to the film, and poorly done at that. Immediately detectable. Listen folks, I don't care if it's got good war footage or not - I don't know because I only watched a minimal amount for the reasons explained above. What I have a problem with is the deceptive technique and wording used to fool people into buying the product -- that is enough reason NOT to blow your money on it! If it's colorized via computer, then it needs to honestly and clearly STATE THAT. Enough said.",1,"08 25, 2003",B00005Q66E,World War II - Battlefront 5 Pak
"What is it with so many Stephen King adaptions?The themes are usually interesting as hell but rarely to they ever convert to anything remotely legible on screen. Scoop up Sleepwalkers - a simply little film (that could have been more) ond an odd mother-son relationship that should send any young virgin screaming for the heels.Kings novel delved into the intriguing mythological background of the sleepwalkers but here the plot doesn't even try. King guru Mick Garris is at it again and thus far he's almost always dissapointed me. The story that's left over is nothing impressive.As a basic explanation, sleepwalkers are monsters that feed on the virginity of virgin girls. Mother and son Mary and Charles Brady move to a small town and focus on a teenager, Tanya Robertson. Plans go awry and the girl escapes, causing further hell to break loose.King scripted the screenplay himself and I wish they would outlaw this. DON'T DO THAT!!But it was fun seeing Tobe Hooper, John Landis, Clive Barker, Stephen King and Joe Dante all do cameos.One thing the film does have is pretty brutal deaths, even if they are a bit cheesy. Death by corn?? Gore is plentiful enough but with a low budget.Humor is tasteless for the most part and all this together equals King brand name cheese that's been churned out from some of his other films.The only thing truly scary about this film is that Charles is banging his own mother. Their relationship is obviously made to look endearing and ""protective"" - but and may indeed by the only redeeming qualities this flick has going for it. This ""relationship"" that screams dysfunction to me wasn't enough to save whatever else the movie tried to attempt.Brian Kruse (Charles) is a good actor cursed with s***ty dialogue and behavior. Tanya, the ""innocent"", (Madchen Amick) reall did come across as sugar-pie sweet. Alice Kringe as ""mom"" is great and deserves better than this role.Everything happens pretty fast so the pace is not boring, but there's just nothing here to really hold my attention. Worth watching on TV if you've never seen it but not much else. Definitely not worthy of owning or paying more than a few bucks for, and not something that warrants much revisiting.",2,"09 20, 2013",6302544289,Sleepwalkers [VHS]
"Amazing! This film is worse than &quot;Batman Forever&quot;, one of the few films that had me running from the theatre. Bad casting (the &quot;super-weirdo&quot; Jolie as Lara Croft?? What were they thinking?), pedestrian action sequences, a bad &quot;script&quot; and a large budget mixed into an unwatchable mess. Did'nt the producers of this sewage watch any &quot;Indiana Jones&quot; films to see how Tomb Raider should have been made; or even play the game?To quote Leonard Pinth Garnell: &quot;Simply awful, could'nt have been worse..&quot;",1,"10 29, 2001",B00003CXZ1,Lara Croft: Tomb Raider (Special Collector's Edition)
"Final Destination2 starts with one of the best action scenes involving cars,trucks,logs of wood you will ever see. The first few scenes are pretty much the only good thing about the film. There on, it's a film you can skip for 10 minutes and rejoin because it's rather predictable. Besides being overdramatic in a wrong way, it seems like the ultimate film for movie watchers in their teens to go and watch at the theaters. It's not to be taken seriously as the music of the film would allow you to believe once you've seen it. I liked the scenes in which the Lotto Winner was killed mainly because I am a huge Incubus fan(they play ""Vitamin"" full length during it) Besides the above mentioned, the film is rather boring. It seems like that a video game with six characters all of whom are trying to save themselves from the unavoidable disaster in the form of death.Watch this movie if you're a curious fan like me. Noone would ever watch this movie for a second time so there is absolutely no sense in purchasing the DVD.I still can't beleive some of my friends found this film scary.It's more yawn inducing.Overall Grade: 4/10",2,"10 9, 2005",B00005JLZK,Final Destination 2
"A lot of slapstick humor that the under 12s would appreciate. A lot of sexual, drug; language humor that the over 16s would appreciate, that is if they were still mentally stuck at under 12. The spoofs of action and chase films were nicely scripted e.g. which trucks are going to catch fire or explode and is turns out it's the truck with the chickens; the apartment drug exchange shoot out with the customary unlimited ammo. Acting was pretty much just act stupid and read your line with exception of Ice Cube who gave his character a bit of personality. A favorite foil for Hollywood script writers are school personnel and they didn't hold back for this fictitious school and to their credit created a couple of interesting portrayals but also had the usual stereotypes.A mindless tolerable entertainment for 99 minutes if nothing else is happening in life (like sleeping) but a more productive entertainment if ff to about half that time.",2,"06 28, 2012",B003Y5H5B0,Unknown Product
The video quality of this DVD is poor.  There is a good introduction to Tai Chi. The instruction was clear.  I would recommend this only to someone who already does Tai Chi and wants a review of the forms.,2,"11 5, 2002",0975061941,Tai Chi - The 24 Forms
"Surprised to see a stop motion Pterodactyl in this one.  Great scenes of attacking dinosaurs killed violently by bloodletting gunfire.  I found the story to be boring but the dinosaur scenes were green tinted, exciting and also greatly scored.  Not sure who did the music but it was first rate!! Better than 'Unknown Island' but I still prefer 'The Land Unknown' or 'The Land That Time Forgot'  for a good, cheap dino-adventure. Gee Wally, that Eddie is such a creep...",2,"03 2, 2001",6303038913,Lost Continent [VHS]
"Never mind the improbability of the movie's premise.--->Note the fact that only American troops are depicted committing war crimes and atrocities.&lt;---The singular moral-compass of the film is shot dead. One good American?What was the message? The motivation other than money (mission accomplished) and entertainment (DOA, once off the beach)? Thus, the agenda?",2,"12 20, 2009",B00000K3AM,Saving Private Ryan [VHS]
Send a message to the greedy corporate movie interests and refuse to buy this buyer-hostile version.Wading through endless advertisements when I PAID for this title...I Say NO!,1,"04 20, 2014",0783219695,Apollo 13 (Widescreen 2-Disc Anniversary Edition)
"Remember during the first ""Matrix"" when you were thinking how amazing and creative the whole idea was, and how the Wachowski brothers were geniouses?  Then years later wondering why they ruined themselves by killing the coolness of the original with subpar sequels that failed to bemuse anyone but tricked you into giving up your $10.00?  That's exactly how I felt when I entered ""Ocean's 12"" which despite it's awesome soundtrack (which earns it two stars) the film cannot escape it's feeling of: ""LOOK AT US ALL, WE'RE ALL BEAUTIFULLY RICH MOVIE STARS AND WE LOVE IT AND WE DON'T REALLY CARE ABOUT THIS MOVIE, BECAUSE WE'RE ALL HAVING SO MUCH FUN BEING BEAUTIFUL AND RICH!!!""  I honestly forgot the plot several times throughout the movie just hoping that one of the ""stars"" would wipe the smug little smirk of their faces...and Zeta-Jones, the queen of smug smirk...don't get me started.",2,"04 5, 2005",B0007P0XBO,Ocean's Twelve
"THIS MOVIE STINKS TO THE 9TH POWER. None of the original voice actors repise their roles in this film. The animation is not as good as the first one. The story is nothing more then a bad road trip movie. The hero:Pips does little-to-nothing to save the baby animals from the 2D villians. Crysta who should have been the lead,instead of Pips. The rest are bland and forgettable. I give this film a 1 out of 10.",1,"11 6, 2011",6305836566,FernGully 2 - The Magical Rescue
"Explain to me, please, what the Henson Creature Factory was thinking. Explain to me, even more, what Mandy Patinkin was thinking. (Vanessa Williams barely rates a mention, and here it is, now forget she exists.)It's become obvious down through the years that, as cartoons list  their stylish subtlety and went increasingly towards a specific aim at the  juvenile crowd, that Jim Henson and his band of merry monsters would take  up the slack that the golden age of Warner Brothers and Looney Toons had  left-- material that was aimed at kids, but with enough adult-oriented  material to keep the adults watching, as well. (Go back and watch those old  cartoons. You'll be amazed at what passed you over when you were a tot that  you find hilarious now, such as Porky Pig's many jabs at Hitler.) Henson's  bunch created two of television's finest, and most underrated, variety  shows, The Muppet Show and Muppets Tonight, both of which played the  balance between kid-oriented slapstick and more adult humor that could have  come straight from the joke book of Don Rickles. And when they started  making movies, they opted for the same approach, and when parents went to  see The Muppet Movie with the little ones, they ended up laughing just as  much.When Jim Henson died, Brian took over, and the Creature Factory  was born. Muppets in Space proved that the son had capably stepped into the  shoes of the father. And now... we get this sickly, stupid, ungainly,  ludicrous mess that can only be called a film because somewhere someone is  burning miles of celluloid with these images on it. At least, I fervently  hope so. Even the kids in the audience (all four of them) were relatively  bored with this pathetic attempt at making a kid-friendly version of The  Rocky Horror Picture Show (with audience participation and all). We're long  past the point where we feel we need to overly simplify moral lessons for  kids, aren't we? Yet the &quot;learning&quot; imparted in this film  sounds-- and smells-- like a dead haddock hitting you in the face.If  your kid is the world's biggest Elmo fanatic, wait until the video comes  out, and then tape it off PBS. But my kid is probably #2, and at least  twice she asked &quot;is it time to go home yet?&quot; (This is a kid who  sat through A Bug's Life and The Wizard of Oz with no problems, mind you.)  Does it rate any stars at all? You be the judge....",1,"06 18, 2000",0767839277,The Adventures of Elmo in Grouchland
"Bruce Willis plays an FBI agent in this syfy action film based on a graphic novel. I found the movie a little short at one hour and about twenty minutes. It ends too soon and their is not enough of his final ordinary world. I would give it a 2 out 5 stars because the spectacle hugely out weighed the story. Willis' character had the only real character development. Most of the other characters were easy to read and almost seemed fact. Also I was disappointed with its side plots. It is a tougher movie to connect with because in our technological age we don't really know what it would be like to have a surrogate or something like it. I really enjoyed the premise of the film. The moral behind the movie is a little weak. It attempts to say that we should live our lives through a robot, but we should live our own lives. It also taught that people love us for who we are and we don't have to put on a face or fake our character for them to love us. The film is worth renting if you can't find anything better. I would recommend for Junior High and up because of the violence. There is not much sexual innuendo in it except for a scene near the beginning in a club and then a couple goes outside and start to take clothes off before getting caught.",2,"09 14, 2011",B002UZCJ8Y,Unknown Product
I am a little taken aback by all the positive reviews. This DVD version is very poorly done. It looks as though they took a much used piece of film and made a copy and transferred it to DVD. I also noticed it was made in Mexico. The colors are washed out and there are artifacts throughout the film. By all means pass on this item until a restored version comes out.,1,"06 12, 2013",B00000ICHA,The Adventures of Ichabod and Mr. Toad (50th Anniversary Edition) [VHS]
"This set is marketed as the Fifth Season; it doesn't say that it's the COMPLETE fifth season, so that's not a lie, is it? I love the show, and these episodes are great, but would never have bought MOST of a season. This is marketing at its lowest as far as I'm concerned. Lies of omission are still lies, and I'm mad at myself for being the sucker who fell for it.",2,"06 10, 2013",B0060MYKYY,Unknown Product
